scenario,budget,method,target,proxy_target,bias,bias_mcse,rmse,empirical_variance,exact_design_variance,mean_estimated_variance,correct_selection,selection_mcse,mean_audits,audit_sd,audit_p05,audit_p95,zero_variance_fraction,wald_coverage,wald_coverage_mcse,wald_width,wald_decisive_rate,wald_wrong_decisive_rate,bernstein_coverage,bernstein_coverage_mcse,bernstein_width,bernstein_decisive_rate,bernstein_wrong_decisive_rate
silent_mild,100,uniform,-0.014999999999999902,0.010499999999980717,0.0014123999999806156,0.0012548600479655014,0.039687453181074056,0.0015746737399799802,0.00160626375,0.0016122982199999998,0.629,0.015276092432294327,99.76,10.296427361780221,84.0,117.0,0.0,0.956,0.006485676526007139,0.154666765928543,0.045,0.012,1.0,0.0,1.1264023769834335,0.0,0.0
silent_mild,100,historical_active,-0.014999999999999902,0.010499999999980717,0.001353913154358538,0.0010978280166345491,0.03472541156823321,0.001205226354107748,0.0013071860148732065,0.0012749341389531746,0.613,0.015402305022301045,100.054,9.863689795222495,85.0,116.04999999999995,0.0,0.901,0.009444522221901962,0.1262308580148022,0.036,0.019,1.0,0.0,1.4319461897436614,0.0,0.0
silent_mild,100,fixed_mixture,-0.014999999999999902,0.010499999999980717,0.00010064503406322957,0.0010871541755616135,0.03436178730308556,0.0011819042014410517,0.0011816283034852954,0.0011790829528116604,0.664,0.014936666294725875,99.885,10.186242414871861,84.0,116.0,0.0,0.938,0.00762600813007697,0.12833599950109653,0.044,0.011,1.0,0.0,1.2409866889164365,0.0,0.0
silent_mild,100,robust_path,-0.014999999999999902,0.010499999999980717,0.0009047765694304207,0.001153616290586399,0.03647352925069094,0.0013308305459063233,0.0013725206153853563,0.0013755128644100075,0.66,0.014979986648859203,99.83,10.243438291317425,84.0,117.0,0.0,0.944,0.007270763371201131,0.14211610939660216,0.049,0.01,1.0,0.0,1.1492681006994088,0.0,0.0
silent_mild,100,oracle_residual,-0.014999999999999902,0.010499999999980717,0.000251393999980613,0.0004079413546793481,0.012896237112118802,0.0001664161488576217,0.00016790535000000005,0.0001674222266760001,0.868,0.010704017937204702,99.781,8.929993492930652,86.0,115.0,0.0,0.956,0.006485676526007139,0.050666696473806054,0.199,0.0,1.0,0.0,2.0,0.0,0.0
silent_mild,250,uniform,-0.014999999999999902,0.010499999999980717,0.0010048399999806196,0.0007967176903097184,0.02520186545476269,0.0006347590780524523,0.00061779375,0.0006215839725000001,0.701,0.014477534320456644,249.703,15.53287034198963,225.0,276.0,0.0,0.956,0.006485676526007139,0.09709660401558315,0.084,0.005,1.0,0.0,0.6770148815416318,0.0,0.0
silent_mild,250,historical_active,-0.014999999999999902,0.010499999999980717,-0.00014766695653987798,0.000707212838765852,0.022353336548399067,0.0005001499993152551,0.0004981626559492825,0.0005093793280695747,0.737,0.013922320208930694,250.209,15.348579670376601,226.0,275.0,0.0,0.902,0.009401914698613255,0.08491294611262927,0.048,0.007,1.0,0.0,0.8547198363243868,0.0,0.0
silent_mild,250,fixed_mixture,-0.014999999999999902,0.010499999999980717,0.00056662022070505,0.0006882993009248916,0.02176242702918387,0.00047375592765369455,0.00044793957139411806,0.000452386710312791,0.734,0.013972973913952606,249.824,15.645824229353206,225.95,277.04999999999995,0.0,0.938,0.00762600813007697,0.08182964542985402,0.081,0.009,1.0,0.0,0.7440712769698444,0.0,0.0
silent_mild,250,robust_path,-0.014999999999999902,0.010499999999980717,0.0006653339051772445,0.000723168571345555,0.02286684234879769,0.000522972782581971,0.0005242964961521327,0.0005265901895750846,0.74,0.013870832707519763,249.758,15.623941357530228,225.0,277.0,0.0,0.942,0.007391616873188169,0.0891965154085327,0.078,0.003,1.0,0.0,0.6903278357941482,0.0,0.0
silent_mild,250,oracle_residual,-0.014999999999999902,0.010499999999980717,-0.00018790080001939054,0.00019752582795449432,0.006246018168965513,3.901645270910848e-05,4.245039000000002e-05,4.260228330216002e-05,0.994,0.002442130217658347,250.536,11.263817185021141,232.0,269.0,0.0,0.96,0.00619677335393187,0.025574486125103477,0.641,0.0,1.0,0.0,2.0,0.0,0.0
silent_mild,600,uniform,-0.014999999999999902,0.010499999999980717,-0.000500116666686052,0.0004845821253528542,0.015324331406478228,0.00023481983621148928,0.00023338875000000005,0.00023523056943055553,0.841,0.011563693181678596,600.509,22.540407915319303,563.0,638.05,0.0,0.95,0.006892024376045114,0.05998172627192547,0.157,0.002,1.0,0.0,0.4083671500742438,0.0,0.0
