eta,calibration_per_class,field_n,cohort,method,true_contrast,structural_width,nominal_minimum_coverage,replicates,feasible_count,feasible_rate,feasible_mcse,covered_count,covered_rate,covered_mcse,resolved_count,resolved_rate,resolved_mcse,wrong_resolution_count,wrong_resolution_rate,wrong_resolution_mcse,covered_mc_ci_lower,covered_mc_ci_upper,wrong_resolution_mc_ci_lower,wrong_resolution_mc_ci_upper,infeasible_count,width_feasible_n,width_p10,width_median,width_p90,max_constraint_residual
1,160,320,negative,field_only,-0.017,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.015400817307365101,0.016016250290747023,0.016556108859256593,2.220446049250313e-16
1,160,320,negative,calibration_only,-0.017,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.0047190635521709295,0.0047190635521709295,0.0047190635521709295,1.1102230246251565e-16
1,160,320,negative,joint,-0.017,0.0,0.96,200,200,1.0,0.0,200,1.0,0.0,199,0.995,0.004987484335815003,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.020846655215824357,0.021491130872813076,0.022056465710262454,1.7763568394002505e-15
1,160,320,near,field_only,0.015399999999999995,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.018674853199434353,0.01895674270629828,0.01905216584414763,2.220446049250313e-16
1,160,320,near,calibration_only,0.015399999999999995,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.00471906355217094,0.00471906355217094,0.00471906355217094,2.220446049250313e-16
1,160,320,near,joint,0.015399999999999995,0.0,0.96,200,200,1.0,0.0,200,1.0,0.0,183,0.915,0.019719913792915014,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.02427519494236123,0.024570386994200957,0.024670313210568888,8.881784197001252e-16
1,640,1280,positive,field_only,0.033,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.008165573087264512,0.008329744784406207,0.008492036418755892,2.220446049250313e-16
1,640,1280,positive,calibration_only,0.033,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.0011594448840437088,0.0011594448840437088,0.0011594448840437088,2.220446049250313e-16
1,640,1280,positive,joint,0.033,0.0,0.96,200,200,1.0,0.0,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.009419693290721365,0.009585768468206617,0.009749941784607998,7.771561172376096e-15
1,640,1280,negative,field_only,-0.017,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.007765634427495116,0.007955642536220149,0.008145466607040222,2.220446049250313e-16
1,640,1280,negative,calibration_only,-0.017,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.0011594448840437262,0.0011594448840437262,0.0011594448840437262,4.440892098500626e-16
1,640,1280,negative,joint,-0.017,0.0,0.96,200,200,1.0,0.0,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.009015117562622021,0.009207328710642934,0.009399353686940684,7.771561172376096e-15
